Date,total.attendance,First,Second,FirstServe24,SecondServe24
2014-11-29,544,215,329,NA,NA
2014-12-06,376,143,233,NA,NA
2014-12-13,570,156,414,NA,NA
2014-12-20,740,260,480,NA,NA
2014-12-27,511,170,341,NA,NA
2015-01-03,518,187,331,NA,NA
2015-01-10,496,170,326,NA,NA
2015-01-17,564,162,402,NA,NA
2015-01-24,482,148,334,NA,NA
2015-01-31,558,172,386,NA,NA
2015-02-07,566,196,370,NA,NA
2015-02-14,434,140,294,NA,NA
2015-02-21,185,56,129,NA,NA
2015-02-28,426,153,273,NA,NA
2015-03-07,517,205,312,NA,NA
2015-03-14,459,116,343,NA,NA
2015-03-21,402,142,260,NA,NA
2015-03-28,368,148,220,NA,NA
2015-04-04,545,188,357,NA,NA
2015-04-11,513,177,336,NA,NA
2015-04-18,393,151,242,NA,NA
2015-04-25,469,187,282,NA,NA
2015-05-02,534,226,308,NA,NA
2015-05-09,593,229,364,NA,NA
2015-05-16,568,200,368,NA,NA
2015-05-23,411,180,231,NA,NA
2015-05-30,683,197,486,NA,NA
2015-06-06,540,171,369,NA,NA
2015-06-13,485,200,285,NA,NA
2015-06-20,420,158,262,NA,NA
2015-06-27,780,330,450,NA,NA
2015-07-04,545,NA,545,NA,NA
2015-07-11,428,158,270,NA,NA
2015-07-18,472,144,328,NA,NA
2015-07-25,484,204,280,NA,NA
2015-08-01,642,250,392,NA,NA
2015-08-08,491,168,323,NA,NA
2015-08-15,514,165,349,NA,NA
2015-08-22,511,191,320,NA,NA
2015-08-29,563,225,338,NA,NA
2015-09-05,550,226,324,NA,NA
2015-09-12,603,188,415,NA,NA
2015-09-19,716,182,534,NA,NA
2015-09-26,435,182,253,NA,NA
2015-10-03,474,189,285,NA,NA
2015-10-10,466,151,315,NA,NA
2015-10-17,432,204,228,NA,NA
2015-10-24,440,186,254,NA,NA
2015-10-31,586,224,362,NA,NA
2015-11-07,501,220,281,NA,NA
2015-11-14,713,196,517,NA,NA
2015-11-21,625,198,427,NA,NA
2015-11-28,495,220,275,NA,NA
2015-12-05,492,NA,492,NA,NA
2015-12-12,649,NA,649,NA,NA
2015-12-19,512,NA,512,NA,NA
2015-12-26,537,NA,537,NA,NA
2016-01-02,440,165,275,NA,NA
2016-01-09,504,245,259,NA,NA
2016-01-16,576,261,315,NA,NA
2016-01-23,420,218,202,NA,NA
2016-01-30,446,236,210,NA,NA
2016-02-06,651,260,391,NA,NA
2016-02-13,458,180,278,NA,NA
2016-02-20,565,218,347,NA,NA
2016-02-27,580,162,418,NA,NA
2016-03-05,437,171,266,NA,NA
2016-03-12,407,122,285,NA,NA
2016-03-19,447,175,272,NA,NA
2016-03-26,551,NA,551,NA,NA
2016-04-02,541,213,328,NA,NA
2016-04-09,634,178,456,NA,NA
2016-04-16,293,142,151,NA,NA
2016-04-23,431,159,272,NA,NA
2016-04-30,669,201,468,NA,NA
2016-05-07,435,141,294,NA,NA
2016-05-14,593,196,397,NA,NA
2016-05-21,514,204,310,NA,NA
2016-05-28,630,227,403,NA,NA
2016-06-04,607,239,368,NA,NA
2016-06-11,501,195,306,NA,NA
2016-06-18,425,160,265,NA,NA
2016-06-25,518,238,280,NA,NA
2016-07-02,541,NA,541,NA,NA
2016-07-09,423,183,240,NA,NA
2016-07-16,493,158,335,NA,NA
2016-07-23,501,221,280,NA,NA
2016-07-30,448,158,290,NA,NA
2016-08-06,524,200,324,NA,NA
2016-08-13,238,93,145,NA,NA
2016-08-20,644,170,474,NA,NA
2016-08-27,620,193,427,NA,NA
2016-09-03,572,226,346,NA,NA
2016-09-10,493,216,277,NA,NA
2016-09-17,438,208,230,NA,NA
2016-09-24,486,181,305,NA,NA
2016-10-01,545,170,375,NA,NA
2016-10-08,508,163,345,NA,NA
2016-10-15,776,171,605,NA,NA
2016-10-22,479,157,322,NA,NA
2016-10-29,524,248,276,NA,NA
2016-11-05,634,NA,634,NA,NA
2016-11-12,481,210,271,NA,NA
2016-11-19,639,150,489,NA,NA
2016-11-26,536,188,348,NA,NA
2016-12-03,585,195,390,NA,NA
2016-12-10,641,187,454,NA,NA
2016-12-17,503,92,411,NA,NA
2016-12-24,495,135,360,NA,NA
2016-12-31,449,145,304,NA,NA
2017-01-07,580,163,417,NA,NA
2017-01-14,475,150,325,NA,NA
2017-01-21,591,154,437,NA,NA
2017-01-28,490,210,280,NA,NA
2017-02-04,608,230,378,NA,NA
2017-02-11,541,180,361,NA,NA
2017-02-18,555,220,335,NA,NA
2017-02-25,618,171,447,NA,NA
2017-03-04,422,178,244,NA,NA
2017-03-11,471,161,310,NA,NA
2017-03-18,535,165,370,NA,NA
2017-03-25,454,186,268,NA,NA
2017-04-01,625,268,357,NA,NA
2017-04-08,764,200,564,NA,NA
2017-04-15,642,262,380,NA,NA
2017-04-22,357,167,190,NA,NA
2017-04-29,403,155,248,NA,NA
2017-05-06,537,225,312,NA,NA
2017-05-13,452,197,255,NA,NA
2017-05-20,465,177,288,NA,NA
2017-05-27,650,113,537,NA,NA
2017-06-03,424,194,230,NA,NA
2017-06-10,508,205,303,NA,NA
2017-06-17,476,178,298,NA,NA
2017-06-24,437,167,270,NA,NA
2017-07-01,512,220,292,NA,NA
2017-07-08,443,170,273,NA,NA
2017-07-15,549,240,309,NA,NA
2017-07-22,340,122,218,NA,NA
2017-07-29,438,203,235,NA,NA
2017-08-05,567,356,211,NA,NA
2017-08-12,511,306,205,NA,NA
2017-08-19,389,266,123,NA,NA
2017-08-26,536,314,222,NA,NA
2017-09-02,528,307,221,NA,NA
2017-09-09,635,284,351,NA,NA
2017-09-16,491,266,225,NA,NA
2017-09-23,573,319,254,NA,NA
2017-09-30,619,419,200,NA,NA
2017-10-07,510,257,253,NA,NA
2017-10-14,445,267,178,NA,NA
2017-10-21,529,295,234,NA,NA
2017-10-28,507,303,204,NA,NA
2017-11-04,604,266,338,NA,NA
2017-11-11,665,354,311,NA,NA
2017-11-18,587,366,221,NA,NA
2017-11-25,585,383,202,NA,NA
2017-12-02,558,350,208,NA,NA
2017-12-09,740,418,322,NA,NA
2017-12-16,460,460,NA,NA,NA
2017-12-23,534,294,240,37,29
2017-12-30,388,229,159,97,62
2018-01-06,491,321,170,81,39
2018-01-13,273,273,NA,NA,NA
2018-01-20,579,NA,NA,17,43
2018-01-27,629,NA,NA,23,74
2018-02-03,523,NA,NA,75,92
2018-02-10,615,NA,NA,80,96
2018-02-17,443,NA,NA,26,79
2018-02-24,459,NA,NA,90,115
2018-03-03,544,NA,NA,88,92
2018-03-10,839,NA,NA,127,148
2018-03-17,538,NA,NA,137,NA
2018-03-24,491,NA,NA,88,108
2018-03-31,683,NA,NA,NA,281
2018-04-07,820,NA,NA,118,145
2018-04-14,531,NA,NA,81,86
2018-04-21,632,NA,NA,92,93
2018-04-28,548,NA,NA,63,83
2018-05-05,617,NA,NA,70,133
2018-05-12,686,NA,NA,71,64
2018-05-19,454,NA,NA,74,82
2018-05-26,763,NA,NA,95,96
2018-06-02,436,NA,NA,92,95
2018-06-09,522,NA,NA,74,75
2018-06-16,544,NA,NA,63,57
2018-06-23,528,NA,NA,77,92
2018-06-30,490,NA,NA,72,103
2018-07-07,483,NA,NA,66,55
2018-07-14,602,NA,NA,57,101
2018-07-21,472,NA,NA,80,81
2018-07-28,473,NA,NA,73,62
2018-08-04,415,NA,NA,51,55
2018-08-11,605,NA,NA,60,85
2018-08-18,556,NA,NA,87,72
2018-08-25,578,NA,NA,90,93
2018-09-01,595,NA,NA,NA,193
2018-09-08,748,NA,NA,96,100
2018-09-15,633,NA,NA,89,108
2018-09-22,516,NA,NA,103,111
2018-09-29,673,NA,NA,87,148
2018-10-06,576,NA,NA,86,88
2018-10-13,609,NA,NA,82,147
2018-10-20,813,NA,NA,91,111
2018-10-27,571,NA,NA,123,201
2018-11-03,565,NA,NA,106,131
2018-11-10,732,NA,NA,148,205
2018-11-17,491,NA,NA,115,102
2018-11-24,568,NA,NA,94,94
2018-12-01,582,NA,NA,110,120
2018-12-08,736,NA,NA,94,107
2018-12-15,560,NA,NA,NA,215
2018-12-22,472,NA,NA,102,114
2018-12-29,507,NA,NA,88,88
2019-01-05,518,323,195,120,109
2019-01-12,384,232,152,163,138
2019-01-19,444,277,167,134,127
2019-01-26,520,364,156,103,93
2019-02-02,465,255,210,106,121
2019-02-09,560,352,208,93,91
2019-02-16,433,269,164,108,97
2019-02-23,586,356,230,98,97
2019-03-02,466,330,136,102,84
2019-03-09,638,363,275,135,120
2019-03-16,690,389,301,115,84
2019-03-23,678,404,274,140,175
2019-03-30,430,298,132,109,104
2019-04-06,967,300,667,103,184
2019-04-13,727,486,237,114,116
2019-04-20,639,NA,639,NA,274
2019-04-27,374,248,126,81,81
2019-05-04,475,306,169,2,103
2019-05-11,601,375,226,98,105
2019-05-18,547,370,177,97,108
2019-05-25,728,322,406,57,127
2019-06-01,415,NA,415,NA,NA
2019-06-08,608,382,226,90,106
2019-06-15,436,233,203,105,91
2019-06-22,527,355,182,87,77
2019-06-29,574,368,206,104,108
2019-07-06,600,388,220,94,95
2019-07-13,565,392,173,107,85
2019-07-20,496,322,174,113,141
2019-07-27,469,268,201,100,134
2019-08-03,501,335,166,83,105
2019-08-10,488,335,153,80,107
2019-08-17,545,380,165,94,79
2019-08-24,491,320,171,98,115
2019-08-31,555,335,220,145,142
2019-09-07,551,NA,551,NA,147
2019-09-14,607,401,206,130,48
2019-09-21,571,377,194,103,118
2019-09-28,624,NA,624,NA,228
2019-10-05,652,427,225,93,107
2019-10-12,680,NA,380,NA,NA
2019-10-19,742,354,388,103,175
2019-10-26,487,323,164,70,110
2019-11-02,530,326,204,75,104
2019-11-09,550,NA,550,90,124
2019-11-16,672,540,132,89,117
2019-11-23,506,370,236,95,129
2019-11-30,611,352,519,77,80
2019-12-07,659,410,249,78,135
2019-12-14,774,351,423,94,116
2019-12-21,517,NA,517,NA,151
2019-12-28,480,348,132,105,NA
2020-01-04,524,372,152,78,189
2020-01-11,588,414,174,112,81
2020-01-18,618,433,185,211,137
2020-01-25,555,383,172,97,146
2020-02-01,490,310,180,118,96
2020-02-08,528,336,192,150,99
2020-02-15,425,287,138,88,95
2020-02-22,686,447,239,146,46
2020-02-29,548,428,120,104,109
2020-03-07,510,318,192,134,116
2020-03-14,NA,NA,NA,NA,NA
2020-03-21,NA,NA,NA,NA,NA
2020-03-28,NA,NA,NA,NA,NA
2020-04-04,NA,NA,NA,NA,NA
2020-04-11,NA,NA,NA,NA,NA
2020-04-18,NA,NA,NA,NA,NA
2020-04-25,NA,NA,NA,NA,NA
2020-05-02,NA,NA,NA,NA,NA
2020-05-09,NA,NA,NA,NA,NA
2020-05-16,NA,NA,NA,NA,NA
2020-05-23,NA,NA,NA,NA,NA
2020-05-30,NA,NA,NA,NA,NA
2020-06-06,NA,NA,NA,NA,NA
2020-06-13,NA,NA,NA,NA,NA
2020-06-20,NA,NA,NA,NA,NA
2020-06-27,NA,NA,NA,NA,NA
2020-07-04,NA,NA,NA,NA,NA
2020-07-11,NA,NA,NA,NA,NA
2020-07-18,NA,NA,NA,NA,NA
2020-07-25,NA,NA,NA,NA,NA
2020-08-01,NA,NA,NA,NA,NA
2020-08-08,NA,NA,NA,NA,NA
2020-08-15,NA,NA,NA,NA,NA
2020-08-22,NA,NA,NA,NA,NA
2020-08-29,NA,NA,NA,NA,NA
2020-09-05,NA,NA,NA,NA,NA
2020-09-12,NA,NA,NA,NA,NA
2020-09-19,NA,NA,NA,NA,NA
2020-09-26,NA,NA,NA,NA,NA
2020-10-03,NA,NA,NA,NA,NA
2020-10-10,NA,NA,NA,NA,NA
2020-10-17,NA,NA,NA,NA,NA
2020-10-24,NA,NA,NA,NA,NA
2020-10-31,NA,NA,NA,NA,NA
2020-11-07,NA,NA,NA,NA,NA
2020-11-14,NA,NA,NA,NA,NA
2020-11-21,NA,NA,NA,NA,NA
2020-11-28,NA,NA,NA,NA,NA
2020-12-05,NA,NA,NA,NA,NA
2020-12-12,NA,NA,NA,NA,NA
2020-12-19,NA,NA,NA,NA,NA
2020-12-26,NA,NA,NA,NA,NA
2021-01-02,NA,NA,NA,NA,NA
2021-01-09,NA,NA,NA,NA,NA
2021-01-16,NA,NA,NA,NA,NA
2021-01-23,NA,NA,NA,NA,NA
2021-01-30,NA,NA,NA,NA,NA
2021-02-06,NA,NA,NA,NA,NA
2021-02-13,NA,NA,NA,NA,NA
2021-02-20,NA,NA,NA,NA,NA
2021-02-27,NA,NA,NA,NA,NA
2021-03-06,NA,NA,NA,NA,NA
2021-03-13,NA,NA,NA,NA,NA
2021-03-20,NA,NA,NA,NA,NA
2021-03-27,NA,NA,NA,NA,NA
2021-04-03,534,214,320,NA,430
2021-04-10,434,184,250,NA,382
2021-04-17,448,180,268,156,269
2021-04-24,464,229,235,197,300
2021-05-01,430,200,230,240,218
2021-05-08,433,189,244,172,269
2021-05-15,458,218,240,185,203
2021-05-22,471,248,223,161,295
2021-05-29,795,108,687,186,240
2021-06-05,410,153,257,159,299
2021-06-12,400,183,217,171,186
2021-06-19,326,NA,326,169,298
2021-06-26,458,182,276,181,216
2021-07-03,421,170,251,172,176
2021-07-10,426,178,248,164,256
2021-07-17,426,239,187,286,214
2021-07-24,193,91,102,165,138
2021-07-31,312,146,166,107,176
2021-08-07,336,180,156,140,165
2021-08-14,415,220,195,162,165
2021-08-21,279,143,136,136,212
2021-08-28,450,250,200,135,189
2021-09-04,357,186,171,151,181
2021-09-11,412,266,146,79,105
2021-09-18,402,203,199,167,158
2021-09-25,639,200,439,147,274
2021-10-02,459,252,207,119,209
2021-10-09,408,194,214,111,200
2021-10-16,437,180,257,159,192
2021-10-23,468,193,275,178,189
2021-10-30,363,186,177,194,193
2021-11-06,422,227,195,124,240
2021-11-13,579,229,350,210,230
2021-11-20,342,188,154,146,210
2021-11-27,423,213,210,124,197
2021-12-04,491,229,262,142,230
2021-12-11,NA,N/A,N/A,NA,NA
2021-12-18,455,158,297,129,249
2021-12-25,329,102,227,122,226
2022-01-01,291,120,171,158,268
2022-01-08,255,137,118,169,235
2022-01-15,302,151,151,194,259
2022-01-22,294,141,153,185,229
2022-01-29,390,198,192,227,308
2022-02-05,354,165,189,185,558
2022-02-12,505,232,273,127,306
2022-02-19,396,204,192,146,303
2022-02-26,400,174,226,147,249
2022-03-05,395,172,223,181,184
2022-03-12,471,216,255,119,246
2022-03-19,324,170,154,143,179
2022-03-26,311,147,164,96,224
2022-04-02,673,186,487,139,249
2022-04-09,490,263,227,165,159
2022-04-16,731,133,598,89,261
2022-04-23,344,114,230,155,299
2022-04-30,404,156,248,139,241
2022-05-07,424,189,235,164,181
2022-05-14,486,230,256,157,218
2022-05-21,494,160,334,153,239
2022-05-28,672,170,502,133,256
2022-06-04,455,243,212,147,179
2022-06-11,339,141,198,126,144
2022-06-18,507,242,265,129,161
